dataset.num,variable,level,year,satt,lower90,upper90
0001,Overall,NA,3,-5.254093566480037,-31.64190238553479,20.528752673502872
0001,Overall,NA,4,4.775990013153091,-21.75967921430817,36.72492012456835
0001,Overall,NA,NA,-0.239051776663473,-24.22964961640583,26.29796951343072
0001,X1,0,NA,-22.097472951227672,-65.57426194169574,21.13857853778238
0001,X1,1,NA,15.15466183395327,-11.491158404758394,41.00659890376254
0001,X2,A,NA,16.648564320816035,-12.511612431243949,46.26765617359987
0001,X2,B,NA,-31.295725661849957,-86.74702884341994,27.50547689057443
0001,X2,C,NA,8.21029035116186,-36.93397034241166,54.48125519427027
0001,X3,0,NA,-3.65072183975974,-34.37923936272458,35.753877000758926
0001,X3,1,NA,9.061396862201462,-22.96569372283843,43.909275806443205
0001,X4,A,NA,-17.319629396420737,-47.448947692900035,15.679829703047304
0001,X4,B,NA,47.638911605687866,10.734790645602049,93.66556599083351
0001,X4,C,NA,41.13365408480573,-30.45878302961033,107.66134913084112
0001,X5,0,NA,0.04526708172687677,-24.96449012542029,27.683261630452712
0001,X5,1,NA,-0.16690633327064577,-43.35663053777645,46.91277645025003
0002,Overall,NA,3,-6.294544790101625,-24.658649899949005,13.50200008791854
0002,Overall,NA,4,-20.64368043192775,-46.20308271479869,3.3062567308228097
0002,Overall,NA,NA,-13.469112611014708,-33.76574734062036,5.650314747595289
0002,X1,0,NA,-27.27691445164797,-55.811037271053344,0.7857823870039411
0002,X1,1,NA,-2.9776010426618313,-31.09367975488849,24.81990367799593
0002,X2,A,NA,-33.61026124388309,-64.04396425378073,0.5013338744701059
0002,X2,B,NA,7.793789210099135,-21.81799926069322,39.27022269773829
0002,X2,C,NA,-13.616232422695075,-55.20200364549325,24.11270559970921
0002,X3,0,NA,-16.504149053849176,-50.14825246746191,17.90389423583452
0002,X3,1,NA,-13.628854183433418,-39.55421781037461,10.18789635172078
0002,X4,A,NA,-17.979589230974,-40.21623446603175,4.561141134127666
0002,X4,B,NA,12.681642578156785,-52.95128730405132,75.54928629652088
0002,X4,C,NA,15.033901619219392,-29.791032916763157,68.32763025350334
0002,X5,0,NA,-25.142210206936767,-56.66934772385928,2.1664620182102823
0002,X5,1,NA,3.442836406956502,-21.872937208485673,30.513335141568646
0003,Overall,NA,3,-82.14042457311169,-112.1205921692592,-53.40477159625719
0003,Overall,NA,4,-53.39359726087753,-84.26846147071147,-22.899145348340426
0003,Overall,NA,NA,-67.7670109169946,-95.25465796443102,-44.276584135463125
0003,X1,0,NA,-96.37652653282176,-135.6892583671936,-60.97600941814849
0003,X1,1,NA,-46.89453056930017,-81.32675627302513,-12.43610712821274
0003,X2,A,NA,-61.97068427399629,-109.3732390186273,-21.800128062954528
0003,X2,B,NA,-49.313090096018726,-89.8618094511214,-13.086626904533231
0003,X2,C,NA,-102.44029875885288,-151.4406895786895,-59.785499090022995
0003,X3,0,NA,-87.03966434451823,-125.33344751975856,-42.64307862781351
0003,X3,1,NA,-59.543467466388336,-97.33791959006768,-26.44756111074247
0003,X4,A,NA,-58.370731069617335,-89.83406657440642,-30.543286810070427
0003,X4,B,NA,-77.88783401520178,-142.7722975578086,-18.85557918872135
0003,X4,C,NA,-213.9947432423476,-320.684472882137,-121.97895560364566
0003,X5,0,NA,-53.65659638104199,-90.281756433931207,-17.166245253698207
0003,X5,1,NA,-79.65955519297503,-115.4634756005342,-46.866135240681885
0004,Overall,NA,3,48.70817863862911,8.680526645705356,95.19629224851586
0004,Overall,NA,4,23.54610683133208,-12.94864923148576,65.27735033971864
0004,Overall,NA,NA,36.127142734980566,-1.6378172681069856,78.61721554425466
0004,X1,0,NA,38.034751698454386,-31.447211351389313,114.23576441715112
0004,X1,1,NA,36.501798295057455,5.73917796086883,84.5085500097335
0004,X2,A,NA,80.58105634527328,23.870700391879325,146.119227231921
0004,X2,B,NA,-29.703216835410785,-75.10609773205988,12.838023831105303
0004,X2,C,NA,35.47997587859868,-13.6386156513055,143.6933317173411
0004,X3,0,NA,86.18308509144998,24.251615993920325,164.11788674205124
0004,X3,1,NA,-6.39946385133905,-39.41005901215391,28.18034462106133
0004,X4,A,NA,29.588280669953942,-12.052662844050973,75.55057015949177
0004,X4,B,NA,15.725001444632284,-51.25333662369261,91.90074375677608
0004,X4,C,NA,57.54588356284637,-6.499263219753658,184.13257098416457
0004,X5,0,NA,48.81773394266304,-3.897113212013153,103.01638360518736
0004,X5,1,NA,20.78799569928526,-23.476656264523953,81.65969959027447
0005,Overall,NA,3,-24.929103448863117,-54.34413558106191,3.181967045516494
0005,Overall,NA,4,7.5844787354270125,-20.2909660018697,37.68463976103653
0005,Overall,NA,NA,-8.672312356718038,-35.35967859577443,17.8595068738732
0005,X1,0,NA,0.30488318606057874,-38.06430013384885,41.74301730793584
0005,X1,1,NA,-22.875285044916183,-51.14037553517219,5.214213705080681
0005,X2,A,NA,-20.762010988961833,-66.37238128254157,29.313464794594864
0005,X2,B,NA,-10.393242681809568,-59.69440933550135,34.39660143530346
0005,X2,C,NA,14.57787964006178,-32.33361958825034,60.031810463391544
0005,X3,0,NA,12.10633119516865,-34.9909992996936,61.85127469594203
0005,X3,1,NA,-28.812069001063833,-58.77913110031605,3.5424115025234144
0005,X4,A,NA,-32.07327708562278,-60.100346754019974,-4.900690751501443
0005,X4,B,NA,58.37631225853386,-2.1922788020606987,138.63079326445092
0005,X4,C,NA,55.8804245300375,-62.640906102938345,197.19415905181305
0005,X5,0,NA,-22.01426542224675,-57.847918123996834,17.403442800308362
0005,X5,1,NA,15.483940861446,-25.576656356246012,53.432690688719774
0006,Overall,NA,3,-24.476719372409036,-51.727192780182264,1.1722725379269434
0006,Overall,NA,4,-18.62342547025014,-48.682604089919906,12.415308819687972
0006,Overall,NA,NA,-21.550072421329617,-46.69603415012825,4.299898898694394
0006,X1,0,NA,6.528594032871723,-24.029695696957297,41.07108198374311
0006,X1,1,NA,-46.46620816851183,-87.35264262602222,-13.982062177646895
0006,X2,A,NA,-42.472458075542306,-89.44770435823455,-1.7721685140465837
0006,X2,B,NA,14.484005767142293,-15.587169373125882,43.77822467766628
0006,X2,C,NA,-57.810890050289174,-108.14027802928727,-9.54797288462376
0006,X3,0,NA,-31.91321562988313,-64.80426968420525,6.172213082955537
0006,X3,1,NA,-20.740012072239097,-58.023900935190085,13.005649336127767
0006,X4,A,NA,-19.3742470385734,-47.88150283604543,10.373484998841567
0006,X4,B,NA,-72.19477081091674,-135.57745984381637,-22.865166635202243
0006,X4,C,NA,10.067987368849517,-70.71552085701012,126.9984126914189
0006,X5,0,NA,-25.165895810157025,-59.78380881389194,10.568113741539385
0006,X5,1,NA,-8.113710267866338,-35.87248096806766,20.50319693428394
0007,Overall,NA,3,-16.79457874090457,-42.205741428006746,6.66640202913873
0007,Overall,NA,4,10.23635112725168,-15.986870729385773,34.9908970679211
0007,Overall,NA,NA,-3.2791138068264445,-26.10336410332892,17.192517551959888
0007,X1,0,NA,-6.85378887179229,-37.85901118739756,21.875172441804523
0007,X1,1,NA,0.23383026410721183,-32.62712095333662,33.38909715266181
0007,X2,A,NA,2.2923914274288393,-30.041739627061,34.617332295668845
0007,X2,B,NA,-9.48500823336812,-46.85582446849206,22.021679513349
0007,X2,C,NA,3.911128023742606,-48.68851011982327,52.97679206459515
0007,X3,0,NA,-3.765347325505985,-33.46118852782365,22.87500346798817
0007,X3,1,NA,8.746982732845225,-23.688028223724046,40.745494920625944
0007,X4,A,NA,-3.801856379699984,-28.57560465530732,18.625558613135883
0007,X4,B,NA,8.628945922800938,-61.31209651819259,88.93078461924135
